"Staff","Customer.Full.Name","Location.Name","Device.Name","Quantity","Product","Category","Date.Time","Discount.Value","Discount.Reason","NET.Sales","Tax.Code","Tax","TOTAL.Sales","Cost.Price","Margin","Tender","Nominal","A.C.Ref","Notes","Customer.ID","ProductId"
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Mash Potatoes (Take)","Ready meal, pizza, soup & Salad boxes","13/05/2024 09:21:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517640
"Individuals"," ","Harper Adams University Main Store","Till1","3.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 09:21:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Avocado (Take)","Fruit & Vegetables (Fresh)","13/05/2024 09:21:42",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517529
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Other","13/05/2024 09:19:46",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21720864
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 09:19:46",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Milk (Take)","Other","13/05/2024 09:19:46",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Fresh Vegetables (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21437093
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Fresh fruits (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21414321
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Dips  and Houmous (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081442
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Mash potato (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21865409
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cheese (Take)","Other","13/05/2024 09:18:38",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517567
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Milk (Take)","Other","13/05/2024 09:17:47",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 09:17:47",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 09:17:47",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","13/05/2024 08:59:03",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Yogurt or Yogurt drink (Take)","Dairy & Dairy alternatives","13/05/2024 08:58:23",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517730
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Tofu & other plant-based food (Take)","Plant based products","13/05/2024 08:57:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517720
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Milk (Take)","Other","13/05/2024 08:52:28",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081441
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 08:52:28",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Cheese & Soft cheese (Take)","Dairy & Dairy alternatives","13/05/2024 08:06:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517566
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 08:06:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","13/05/2024 08:06:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Pancetta (Take)","Other","13/05/2024 08:06:19",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081443
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000g","Courgettes & squash (Donate)","Fruit & Vegetables (Fresh)","13/05/2024 08:01:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517584
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Fresh fruits (any) (Take)","Fruit & Vegetables (Fresh)","13/05/2024 08:01:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517610
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","13/05/2024 08:01:17",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 05:59:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","10.0000","Non-food products (Take)","Other","13/05/2024 05:59:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20941059
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000","Bread and bakery (Take)","Other","13/05/2024 05:59:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","6.0000","Fresh Vegetables (Take)","Other","13/05/2024 05:59:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21437093
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000","Bread and bakery (Take)","Other","13/05/2024 05:58:39",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","13/05/2024 05:58:39",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","12/05/2024 21:58:08",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Houmous (Take)","Ready meal, pizza, soup & Salad boxes","12/05/2024 21:58:08",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517627
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Cheese & Soft cheese (Take)","Dairy & Dairy alternatives","12/05/2024 21:58:08",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517566
